"","x","y","sst"
"401",-69.875,39.875,20.8492851257143
"402",-69.625,39.875,21.1185707357143
"403",-69.375,39.875,21.4899993628571
"404",-69.125,39.875,22.1435709014286
"405",-68.875,39.875,23.0078569135714
"406",-79.875,39.625,NA
"407",-79.625,39.625,NA
"408",-79.375,39.625,NA
"409",-79.125,39.625,NA
"410",-78.875,39.625,NA
"411",-78.625,39.625,NA
"412",-78.375,39.625,NA
"413",-78.125,39.625,NA
"414",-77.875,39.625,NA
"415",-77.625,39.625,NA
"416",-77.375,39.625,NA
"417",-77.125,39.625,NA
"418",-76.875,39.625,NA
"419",-76.625,39.625,NA
"420",-76.375,39.625,NA
"421",-76.125,39.625,NA
"422",-75.875,39.625,NA
"423",-75.625,39.625,NA
"424",-75.375,39.625,NA
"425",-75.125,39.625,NA
"426",-74.875,39.625,NA
"427",-74.625,39.625,NA
"428",-74.375,39.625,NA
"429",-74.125,39.625,21.0064279021429
"430",-73.875,39.625,20.5957138871429
"431",-73.625,39.625,20.1342853814286
"432",-73.375,39.625,19.6964280271429
"433",-73.125,39.625,19.32285663
"434",-72.875,39.625,19.0914283478571
"435",-72.625,39.625,19.0749995378571
"436",-72.375,39.625,19.2707139421429
"437",-72.125,39.625,19.6849994657143
"438",-71.875,39.625,20.2471423835714
"439",-71.625,39.625,20.6571425021429
"440",-71.375,39.625,20.7771425257143
"441",-71.125,39.625,20.7871424814286
"442",-70.875,39.625,20.8142852778571
"443",-70.625,39.625,21.1478567121429
"444",-70.375,39.625,21.5749996728571
"445",-70.125,39.625,22.0892853064286
"446",-69.875,39.625,22.6064281457143
"447",-69.625,39.625,22.9799995414286
"448",-69.375,39.625,23.2292849671429
"449",-69.125,39.625,23.6714278635714
"450",-68.875,39.625,24.2535709664286
"451",-79.875,39.375,NA
"452",-79.625,39.375,NA
"453",-79.375,39.375,NA
"454",-79.125,39.375,NA
"455",-78.875,39.375,NA
"456",-78.625,39.375,NA
"457",-78.375,39.375,NA
"458",-78.125,39.375,NA
"459",-77.875,39.375,NA
"460",-77.625,39.375,NA
"461",-77.375,39.375,NA
"462",-77.125,39.375,NA
"463",-76.875,39.375,NA
"464",-76.625,39.375,NA
"465",-76.375,39.375,NA
"466",-76.125,39.375,NA
"467",-75.875,39.375,NA
"468",-75.625,39.375,NA
"469",-75.375,39.375,NA
"470",-75.125,39.375,NA
"471",-74.875,39.375,NA
"472",-74.625,39.375,NA
"473",-74.375,39.375,21.19571386
"474",-74.125,39.375,21.01357092
"475",-73.875,39.375,20.6707141064286
"476",-73.625,39.375,20.2778566892857
"477",-73.375,39.375,19.9314280921429
"478",-73.125,39.375,19.6285708292857
"479",-72.875,39.375,19.4792855114286
"480",-72.625,39.375,19.6178565714286
"481",-72.375,39.375,20.0721423278571
"482",-72.125,39.375,20.68285656
"483",-71.875,39.375,21.3421422414286
"484",-71.625,39.375,21.7507134835714
"485",-71.375,39.375,21.6657139914286
"486",-71.125,39.375,21.4578567228571
"487",-70.875,39.375,21.4499995378571
"488",-70.625,39.375,21.8264280057143
"489",-70.375,39.375,22.4599993578571
"490",-70.125,39.375,23.1364281528571
"491",-69.875,39.375,23.5749994014286
"492",-69.625,39.375,23.8049994878571
"493",-69.375,39.375,23.9221423014286
"494",-69.125,39.375,24.263570785
"495",-68.875,39.375,24.6721424385714
"496",-79.875,39.125,NA
"497",-79.625,39.125,NA
"498",-79.375,39.125,NA
"499",-79.125,39.125,NA
"500",-78.875,39.125,NA
"501",-78.625,39.125,NA
"502",-78.375,39.125,NA
"503",-78.125,39.125,NA
"504",-77.875,39.125,NA
"505",-77.625,39.125,NA
"506",-77.375,39.125,NA
"507",-77.125,39.125,NA
"508",-76.875,39.125,NA
"509",-76.625,39.125,NA
"510",-76.375,39.125,26.1764278414286
"511",-76.125,39.125,NA
"512",-75.875,39.125,NA
"513",-75.625,39.125,NA
"514",-75.375,39.125,21.4657139107143
"515",-75.125,39.125,21.3514280321429
"516",-74.875,39.125,21.2492852907143
"517",-74.625,39.125,21.2542854042857
"518",-74.375,39.125,21.1971427371429
"519",-74.125,39.125,20.9878565935714
"520",-73.875,39.125,20.7164280735714
"521",-73.625,39.125,20.4435709542857
"522",-73.375,39.125,20.2049993785714
"523",-73.125,39.125,20.0621425078571
"524",-72.875,39.125,20.1264281957143
"525",-72.625,39.125,20.4628565642857
"526",-72.375,39.125,21.0392852514286
"527",-72.125,39.125,21.66357095
"528",-71.875,39.125,22.1964280264286
"529",-71.625,39.125,22.4099991657143
"530",-71.375,39.125,22.2378565928571
"531",-71.125,39.125,22.0542851857143
"532",-70.875,39.125,22.1049995435714
"533",-70.625,39.125,22.5128566192857
"534",-70.375,39.125,23.1664280214286
"535",-70.125,39.125,23.8221421928571
"536",-69.875,39.125,24.1699995314286
"537",-69.625,39.125,24.2807134907143
"538",-69.375,39.125,24.3907138285714
"539",-69.125,39.125,24.6471424092857
"540",-68.875,39.125,24.9149994178571
"541",-79.875,38.875,NA
"542",-79.625,38.875,NA
"543",-79.375,38.875,NA
"544",-79.125,38.875,NA
"545",-78.875,38.875,NA
"546",-78.625,38.875,NA
"547",-78.375,38.875,NA
"548",-78.125,38.875,NA
"549",-77.875,38.875,NA
"550",-77.625,38.875,NA
"551",-77.375,38.875,NA
"552",-77.125,38.875,NA
"553",-76.875,38.875,NA
"554",-76.625,38.875,NA
"555",-76.375,38.875,26.1685707907143
"556",-76.125,38.875,NA
"557",-75.875,38.875,NA
"558",-75.625,38.875,NA
"559",-75.375,38.875,NA
"560",-75.125,38.875,21.3021425507143
"561",-74.875,38.875,21.2864279071429
"562",-74.625,38.875,21.3321424207143
"563",-74.375,38.875,21.3378568385714
"564",-74.125,38.875,21.2357136871429
"565",-73.875,38.875,21.0421423235714
"566",-73.625,38.875,20.8828569142857
"567",-73.375,38.875,20.7949996685714
"568",-73.125,38.875,20.9142851142857
"569",-72.875,38.875,21.2249997007143
"570",-72.625,38.875,21.70499938
"571",-72.375,38.875,22.2049995142857
"572",-72.125,38.875,22.5935707107143
"573",-71.875,38.875,22.7849994392857
"574",-71.625,38.875,22.7314280107143
"575",-71.375,38.875,22.6399992528571
"576",-71.125,38.875,22.6621426178571
"577",-70.875,38.875,22.8542849685714
"578",-70.625,38.875,23.2499995921429
"579",-70.375,38.875,23.7635709214286
"580",-70.125,38.875,24.2457136428571
"581",-69.875,38.875,24.5071423392857
"582",-69.625,38.875,24.5635707035714
"583",-69.375,38.875,24.6949995578571
"584",-69.125,38.875,24.9085706992857
"585",-68.875,38.875,25.0942851485714
"586",-79.875,38.625,NA
"587",-79.625,38.625,NA
"588",-79.375,38.625,NA
"589",-79.125,38.625,NA
"590",-78.875,38.625,NA
"591",-78.625,38.625,NA
"592",-78.375,38.625,NA
"593",-78.125,38.625,NA
"594",-77.875,38.625,NA
"595",-77.625,38.625,NA
"596",-77.375,38.625,NA
"597",-77.125,38.625,NA
"598",-76.875,38.625,NA
"599",-76.625,38.625,NA
"600",-76.375,38.625,26.02999946
"601",-76.125,38.625,NA
"602",-75.875,38.625,NA
"603",-75.625,38.625,NA
"604",-75.375,38.625,NA
"605",-75.125,38.625,NA
"606",-74.875,38.625,21.43999958
"607",-74.625,38.625,21.54428523
"608",-74.375,38.625,21.6507140571429
"609",-74.125,38.625,21.6664280207143
"610",-73.875,38.625,21.5842853271429
"611",-73.625,38.625,21.5171422971429
"612",-73.375,38.625,21.5392853878571
"613",-73.125,38.625,21.8285707757143
"614",-72.875,38.625,22.3457137528571
"615",-72.625,38.625,22.9092854092857
"616",-72.375,38.625,23.3328564514286
"617",-72.125,38.625,23.5171425692857
"618",-71.875,38.625,23.4971423835714
"619",-71.625,38.625,23.3585707814286
"620",-71.375,38.625,23.2999993742857
"621",-71.125,38.625,23.3664279657143
"622",-70.875,38.625,23.4978568221429
"623",-70.625,38.625,23.7371422914286
"624",-70.375,38.625,24.0149992535714
"625",-70.125,38.625,24.3735708514286
"626",-69.875,38.625,24.63642788
"627",-69.625,38.625,24.7849993014286
"628",-69.375,38.625,24.9507137021429
"629",-69.125,38.625,25.13357067
"630",-68.875,38.625,25.2685707635714
"631",-79.875,38.375,NA
